episode,reward,epsilon,loss
0,-142.25378569333847,0.997,9.584856510162354
1,29.648393588276633,0.994009,90.67648237612512
2,-138.0268044242723,0.991026973,122.3985754629173
3,-150.46278063103665,0.988053892081,109.909269471602
4,-179.08513829845185,0.985089730404757,124.0212234502933
5,-111.65143898826736,0.9821344612135428,129.47747188096955
6,-211.78799421343552,0.9791880578299021,83.93435646070016
7,-236.66529584895645,0.9762504936564125,102.7230446903656
8,-249.95355068238075,0.9733217421754432,80.137315086389
9,-282.40330080545857,0.9704017769489168,102.53325197648029
10,-163.66247887365327,0.9674905716180701,101.90216412200584
11,59.26106008348948,0.9645880999032158,87.67006028401852
12,-96.41349859468214,0.9616943356035061,80.00233330550017
13,-4.945244841624913,0.9588092525966956,73.17566454255736
14,-93.35921561119953,0.9559328248389055,78.3438162748841
15,-109.2023849259493,0.9530650263643888,77.74589065560755
16,-89.62747039062386,0.9502058312852957,99.53803687907279
17,-394.8524250115413,0.9473552137914398,74.1017634678731
18,-297.27771666328533,0.9445131481500655,89.37442529876277
19,-139.22237374199585,0.9416796087056153,65.0210552999418
20,-92.77779191682676,0.9388545698794984,94.25336449320723
21,-314.63758524189024,0.93603800616986,97.01393360441381
22,-149.9710232561577,0.9332298921513504,81.82174707364432
23,-263.9986818632849,0.9304302024748964,107.7595078617061
24,-132.43140616419078,0.9276389118674717,87.34517391161485
25,-31.423531355463254,0.9248559951318693,83.57105133136113
26,-332.30523979475345,0.9220814271464737,86.094568580088
27,-278.3768631618703,0.9193151828650342,89.90959753431716
28,-233.36905026426393,0.9165572373164391,81.60981564560244
29,-70.1452967964653,0.9138075656044898,99.16913342854333
30,-128.9402653650639,0.9110661429076764,89.99422604697091
31,-113.9520912775445,0.9083329444789534,85.19100455696702
32,-31.399741628959816,0.9056079456455165,90.64771893574641
33,-306.5929552752706,0.90289112180858,80.66819006403287
34,-324.50162752505867,0.9001824484431542,81.72565703654507
35,-167.34294694657297,0.8974819010978248,74.63742775776807
36,-90.10893440232289,0.8947894553945313,79.40138603924038
37,-186.33940327638913,0.8921050870283477,91.92385490550551
38,-65.47086966471159,0.8894287717672626,89.41615685394832
39,-154.71109361676736,0.8867604854519608,86.20875403596393
40,-232.47733319588292,0.884100203995605,66.07858954358984
41,-107.0183444809093,0.8814479033836181,72.44709814339876
42,-99.736018693557,0.8788035596734672,71.5205020904541
43,-99.26333826362328,0.8761671489944468,72.09644534172268
44,-155.89250822295418,0.8735386475474635,83.48732007943191
45,-173.499081480594,0.8709180316048211,65.68429617087047
46,-98.14294633715787,0.8683052775100066,84.17977241839259
47,64.82239994593982,0.8657003616774767,69.54579763065111
48,-100.75514910574013,0.8631032605924442,89.85383625610454
49,-118.0427571531928,0.860513950810667,89.96558803234781
50,-222.08432772523122,0.857932408958235,76.89901480736671
51,-100.87819923554892,0.8553586117313603,63.87007862550241
52,-278.9737437933409,0.8527925358961662,71.87297555593055
53,-226.66464845549518,0.8502341582884777,75.31912689425728
54,-68.71475622946076,0.8476834558136123,65.52155558613764
55,-84.58467320881644,0.8451404054461714,63.395545803010464
56,-91.09663908192972,0.8426049842298329,65.37233368126121
57,-236.97156073167176,0.8400771692771434,59.78008018124778
58,-134.88162417907478,0.837556937769312,75.48665116495556
59,-158.28814824653523,0.835044266956004,58.000636564225566
60,-95.71884285633547,0.8325391341551359,69.41688014354024
61,-220.29145279781233,0.8300415167526705,63.40234595995683
62,-191.22530222343488,0.8275513922024125,63.45684658353393
63,-102.82233572482059,0.8250687380258053,64.79879548121244
64,-224.3226670290276,0.8225935318117279,59.013094132386364
65,-134.8319486553674,0.8201257512162927,59.22040165950512
66,-134.23910876930293,0.8176653739626438,56.38336800416311
67,-167.6201941517919,0.8152123778407558,62.97058445148254
68,-90.43452077553412,0.8127667407072335,54.514614091363065
69,37.246799904385654,0.8103284404851119,60.45811906991861
70,-207.50271522918985,0.8078974551636565,61.107367608053934
71,-257.0430062384799,0.8054737627981655,51.97875748574734
72,-276.58041708888436,0.803057341509771,74.59729066873209
73,-69.67475550484843,0.8006481694852418,55.96411203056253
74,-186.94119024506423,0.798246224976786,62.217348727487746
75,-232.19222459507452,0.7958514863018556,58.56667661161746
76,-123.85688222527925,0.79346393184295,68.74108094970386
77,-52.109110175420746,0.7910835400474212,52.34455402814425
78,-147.5029634351726,0.7887102894272789,49.400000187439645
79,-303.1483496859733,0.7863441585589971,51.79863362713198
80,-110.27848306007539,0.78398512608332,46.03274555639787
81,-104.56038647247287,0.7816331707050701,66.46893029886743
82,-181.66807815793294,0.7792882711929549,51.28201161750725
83,-417.055369174307,0.776950406379376,53.81214304794943
84,-98.16009410214681,0.7746195551602378,56.64240970445234
85,-28.591325945165664,0.7722956964947572,45.544485893594214
86,-90.50448662510729,0.7699788094052729,58.04907578524977
87,-184.4344185865028,0.767668872977057,45.49072839243937
88,-139.16684452534756,0.7653658663581259,39.85634502147635
89,-66.90503873690929,0.7630697687590515,32.93283513740257
90,-64.56616800607506,0.7607805594527743,49.90485718846321
91,-119.97678813760001,0.7584982177744161,44.795862168073654
92,-138.57252661912403,0.7562227231210928,45.294733897604125
93,-99.02971985958213,0.7539540549517295,45.467839071510035
94,-282.38589365808014,0.7516921927868743,46.255118919922424
95,-247.95127222801645,0.7494371162085136,37.8295230549209
96,-193.4169492095417,0.747188804859888,36.96090670894174
97,-185.10095242863267,0.7449472384453084,47.193136172635214
98,-64.72083991456819,0.7427123967299725,42.5257072251776
99,-176.29393672149678,0.7404842595397826,46.14664541766757
100,-118.17072073771318,0.7382628067611632,34.89474950517927
101,-2.332317677615137,0.7360480183408797,38.35651100744115
102,-104.26802166502387,0.7338398742858571,32.954184548570474
103,5.7066104760159675,0.7316383546629995,43.983864832763096
104,-112.6879206375377,0.7294434395990105,45.62485455885166
105,-10.10899687678048,0.7272551092802134,45.02698370556772
106,-135.6045398160599,0.7250733439523728,42.02634386486477
107,-76.45449301509372,0.7228981239205157,37.84970446704309
108,-127.94722692499985,0.7207294295487541,35.7567325971258
109,-100.88365755625108,0.7185672412601078,37.015553536740214
110,-49.416087661309774,0.7164115395363275,43.10430875809296
111,-36.59386183563157,0.7142623049177186,36.988592043690296
112,-171.5224429433955,0.7121195180029655,51.24712722102801
113,-27.38444969660165,0.7099831594489566,39.24594582498601
114,-43.92185943579455,0.7078532099706097,44.53735571828756
115,-139.51192370161522,0.7057296503406979,35.484390168576624
116,-14.747227224619593,0.7036124613896758,34.72239857134612
117,-20.143776749556324,0.7015016240055068,33.60110898261523
118,-17.00026703584301,0.6993971191334902,40.13146825770398
119,-130.32819056894607,0.6972989277760897,33.69217818915242
120,-146.51908952776188,0.6952070309927615,38.79358686310376
121,-231.05668246678718,0.6931214098997832,32.36300628653196
122,-142.33183825613006,0.6910420456700839,39.19436606063562
123,-73.73013956879436,0.6889689195330736,34.3022738476412
124,-87.20741456104598,0.6869020127744744,24.170881806033673
125,-137.65877305453805,0.684841306736151,34.11238705430712
126,-126.75284896812398,0.6827867828159425,27.518777634495887
127,-140.58749740926538,0.6807384224674947,30.134914284739
128,-97.44479534908486,0.6786962072000923,30.21166728618668
129,-87.69229957171699,0.676660118578492,30.666124747051455
130,-79.40675313726173,0.6746301382227565,40.21687774119839
131,-112.17840484705795,0.6726062478080883,27.38990087137965
132,-91.80438947205064,0.6705884290646641,35.84331861409274
133,-211.24621280886512,0.66857666377747,37.697900235652924
134,-104.44204779876054,0.6665709337861376,27.72034160513431
