episode,reward,epsilon,loss,avg_q_value
0,-196.75951398420497,0.995,5.039222883243187,0.3307334181705588
1,-106.94981550226386,0.990025,75.74901204830722,0.6708265515534502
2,-434.9414769283513,0.985074875,87.93014192840327,1.208782110201276
3,-141.44498485828578,0.9801495006250001,76.94345456226306,0.491075997621837
4,-85.26578250405167,0.9752487531218751,102.7937600536952,2.024001169772375
5,-114.7799685407104,0.9703725093562657,80.69826247223786,4.010692749704633
6,-68.55529424344653,0.9655206468094844,69.49041084538807,4.488682056015188
7,-425.6062228543884,0.960693043575437,68.95800740992436,3.6376491374656803
8,-96.71765952820721,0.9558895783575597,76.06118915264423,4.540390727611689
9,-191.69932136314435,0.9511101304657719,71.34662940718911,3.6654562089253555
10,-119.70960442007569,0.946354579813443,86.59956629379936,8.199551537416983
11,-135.05516807976795,0.9416228069143757,84.04896947916816,19.444034806419822
12,-86.46003281937766,0.9369146928798039,78.48742216494348,19.927170087893803
13,-122.63626771553444,0.9322301194154049,88.61461022753774,20.43592886277187
14,-86.79720206281678,0.9275689688183278,55.561518773665796,19.35352908556278
15,-167.08923536329746,0.9229311239742362,73.93191286335643,17.84563974233774
16,-133.90151420820024,0.918316468354365,76.16075096391651,18.783174377598176
17,-197.62634637943114,0.9137248860125932,88.36336119969685,16.63682128270467
18,-104.49737196602118,0.9091562615825302,80.59763849883521,19.360818261859798
19,-99.8474299018097,0.9046104802746175,64.90873389658721,19.646628048108973
20,-85.00787251565478,0.9000874278732445,48.82200416410812,25.919193604979853
21,-59.26486586151229,0.8955869907338783,52.41562961587812,34.888375945610576
22,-70.44471595152379,0.8911090557802088,34.77553230524063,35.25117386614575
23,-234.56434442013466,0.8866535105013078,39.10843311594083,25.42494413829767
24,-106.12773601738019,0.8822202429488013,40.1110777038115,35.87809494827633
25,-61.34476333955303,0.8778091417340573,41.76398429424643,36.30492370934795
26,-161.3949301493783,0.8734200960253871,34.32126891022862,30.0440037967545
27,-79.87142696592193,0.8690529955452602,31.457252699300785,34.67265916089399
28,-294.61070728357197,0.8647077305675338,34.71317888269521,14.46310376639318
29,-102.31997202266703,0.8603841919146962,32.976455909689676,37.49059628948723
30,-226.95063633445093,0.8560822709551227,41.56711925673731,28.29622360725993
31,-257.8742855700084,0.851801859600347,42.876142140162194,34.65458210292509
32,-317.57406943954754,0.8475428503023453,37.59978084481995,25.978435948799397
33,-139.75264285727678,0.8433051360508336,45.061313040648834,29.26514527163928
34,-161.25551224479852,0.8390886103705794,33.03516917727714,35.76795958363733
35,-129.3249255532222,0.8348931673187264,42.61592796337174,34.006214983492015
36,-74.01485375986246,0.8307187014821328,39.097107571774515,34.520719198831195
37,-49.37944851090286,0.8265651079747222,32.923824310302734,32.640669031457584
38,-94.94392045092872,0.8224322824348486,37.84485032392103,33.48439644796904
39,-129.84534807342996,0.8183201210226743,32.16009499132633,38.55761544581722
40,-142.51565933551566,0.8142285204175609,37.6330081264178,25.948447015881538
41,-99.85594510045624,0.810157377815473,26.889384833249178,28.591322578083386
42,-179.41219258392925,0.8061065909263957,22.67116192235785,27.854090598427643
43,-179.9993577983531,0.8020760579717637,23.655046580415785,35.47789932922883
44,-162.35981489643297,0.798065677681905,26.4185731433056,29.193888229904353
45,-93.74307273820891,0.7940753492934954,32.06339581109382,28.868689799630964
46,-222.51803465128398,0.7901049725470279,21.397586909462422,23.37573356768664
47,-96.64927641212591,0.7861544476842928,27.14560673440375,22.95482562227947
48,-57.779197232377115,0.7822236754458713,25.008345711329753,35.276573807740014
49,-192.09625365210923,0.778312557068642,24.267063257369127,20.85489376939156
50,-107.69542071992728,0.7744209942832988,17.871755084748994,27.315298177428165
51,-118.02678640030895,0.7705488893118823,19.903130561113358,36.40324626816437
52,-137.06584013641165,0.7666961448653229,21.159739939371743,12.167940482828353
53,-105.21117910453924,0.7628626641409962,18.541860595852338,31.932857182561136
54,-332.0741329398776,0.7590483508202912,14.321536480147262,16.061093472612317
55,-172.7361607884948,0.7552531090661897,19.382606804825876,23.933943322141662
56,-159.38952875772262,0.7514768435208588,14.741969918951074,14.058617116288936
57,-144.59257913972476,0.7477194593032545,19.42699261456728,20.501494777202605
58,-78.00424935127553,0.7439808620067382,17.876497124569326,31.602706891826436
59,-23.113874761548487,0.7402609576967045,14.910057357379369,27.086009248178833
60,-81.06700718283238,0.736559652908221,13.643031899993485,19.011963364240284
61,-177.44032965182436,0.7328768546436799,17.153549833500637,30.62889183708962
62,-62.558557780977175,0.7292124703704616,19.09875032940849,32.31445989159287
63,-149.82198183729813,0.7255664080186093,13.8923255443573,20.058979369612302
64,-81.35525447446162,0.7219385759785162,15.70954719510409,-4.369090100104856
65,-49.306545952504436,0.7183288830986236,16.866538533458,16.332503660225573
66,-98.9913058683214,0.7147372386831305,11.191688721378645,20.095310454567272
67,-42.47337570439318,0.7111635524897149,16.1454335935045,26.6139811336404
68,-18.48552768898503,0.7076077347272662,12.457241727390151,16.029402790294178
69,-173.65095799137245,0.7040696960536299,15.195579215387504,16.479080724716187
70,-143.47778842899962,0.7005493475733617,15.670229335453199,32.47053179883439
71,-130.72638892189795,0.697046600835495,24.202223298342332,15.183016871628555
72,9.525439346778796,0.6935613678313175,19.165203011437747,27.921907453797758
73,-93.65464408351177,0.6900935609921609,20.916036285203077,29.22684172172656
74,-150.67569991334858,0.6866430931872001,19.39647017185043,49.97594175173801
75,-180.36269642758353,0.6832098777212641,18.199815450812416,18.590332221641816
76,-76.07173561166623,0.6797938283326578,15.60076002079806,29.5574986570173
77,-13.1233315681785,0.6763948591909945,14.432251366429359,28.645371810445244
78,-93.3608205056525,0.6730128848950395,20.836343885603405,24.929525546800523
79,-106.54551985215976,0.6696478204705644,17.167268132650722,-3.492165204097507
80,-69.84889669464502,0.6662995813682115,13.332886665054922,28.493562746583745
81,-66.88562672456024,0.6629680834613705,18.455963864922523,15.074545756028964
82,-118.59474124868548,0.6596532430440636,17.992640485502267,-10.875282689316633
83,-82.31774929651469,0.6563549768288433,14.015278449184017,31.43826260237317
84,-109.73544863309124,0.653073201944699,9.039262026548386,25.85933235883713
85,-188.26825246577465,0.6498078359349755,13.13162745287021,16.950437863046925
86,-30.143750151843406,0.6465587967553006,13.961860824757673,36.41207658024285
87,-141.96522434283474,0.6433260027715241,13.010777279876528,12.042596290225074
88,-32.6932086538952,0.6401093727576664,11.38304508987226,35.424204876548366
89,-68.1087193909766,0.6369088258938781,13.622018617827719,13.078795779042128
90,-77.43403940553226,0.6337242817644086,14.38393201146807,36.41414587445311
91,-33.553923147812526,0.6305556603555866,13.319153486449142,18.969493311027
92,-1.5507450060988788,0.6274028820538087,13.698101691625736,16.49950544480924
93,-39.29588249135944,0.6242658676435396,16.936933410438623,33.71853076954457
94,-52.88787104116014,0.6211445383053219,12.351303108095184,26.08408209798843
95,-118.55454465955464,0.6180388156137953,13.872761749085926,29.149708826390523
96,-30.746851945334583,0.6149486215357263,18.44513377722572,30.181558290449512
97,-65.22455209171869,0.6118738784280476,15.346068613231182,33.28229799121618
98,-38.47366619141694,0.6088145090359074,14.898478106448525,23.06099778570627
99,17.49685131840603,0.6057704364907278,12.033487319946289,45.845352091232655
100,-72.38760228027641,0.6027415843082742,14.34840836008983,20.987846625607403
101,-79.2245533185853,0.5997278763867329,15.889044510616976,43.211049077594105
102,-28.02534501064207,0.5967292370047992,11.993965665499369,12.000025896465077
103,-89.9995769684402,0.5937455908197752,11.543380387417681,37.12056061819002
104,-21.968363683678874,0.5907768628656763,18.154535909627107,17.05842105574256
105,-47.42319349917033,0.5878229785513479,10.001980297382062,23.15741009070323
106,-29.155071886321977,0.5848838636585911,12.521358164581093,48.75559232122189
107,-88.87073373698777,0.5819594443402982,11.351077085691141,66.70583974892367
108,-67.73553417286122,0.5790496471185967,13.608644931249216,57.20938699765944
109,-105.87864979103837,0.5761543988830038,11.724959662086086,60.31246836670497
110,-52.33560419496738,0.5732736268885887,13.936811250906723,60.65225704824313
111,9.958684778293872,0.5704072587541458,9.86408312725865,53.4727127544241
112,-80.28451845081531,0.567555222460375,10.972718769283386,44.24002856386905
113,-39.49571296466869,0.5647174463480732,10.279018643081828,24.906095275314904
114,-39.011488480031375,0.5618938591163328,9.7733301130501,39.74199977839315
115,-38.70812079330751,0.5590843898207511,8.490127327215617,41.29482370169993
116,7.4206884555747905,0.5562889678716474,9.120203966895739,30.190742190927267
117,-71.36290392855473,0.5535075230322891,8.637687207214416,30.782310349600657
118,-121.109794971,0.5507399854171277,6.734370823477356,33.62804744319177
119,-96.5701762122013,0.547986285490042,8.201315673561984,47.635155068441875
120,-45.816338462727856,0.5452463540625918,7.75375369821276,45.763263320241656
121,-49.17240631797914,0.5425201222922789,7.401370621740818,-33.29001184656471
122,-55.27600962825099,0.5398075216808175,7.594047268372122,57.24969587814682
123,-39.467024568420726,0.5371084840724134,6.504481638406778,40.897693757112926
124,-21.343189678751955,0.5344229416520513,7.985985988064816,48.10406045184324
125,-6.900534555276593,0.531750826943791,7.361059199031602,35.23430025233672
126,-89.91497395342621,0.5290920728090721,8.650436747205127,18.9729825258255
127,-93.89031407777462,0.5264466124450268,8.114028689709116,46.486948746131034
128,-56.89425553806231,0.5238143793828016,9.208332448005676,29.338139944076538
129,-82.34997481662276,0.5211953074858876,7.846178202021042,48.624492742871276
130,-32.41803031128981,0.5185893309484582,9.329578442919638,42.410284983534964
131,-21.744815563330533,0.5159963842937159,10.78240240637849,39.77887960686916
132,-65.91730495014534,0.5134164023722473,8.591623502161415,6.8158879703848
133,3.7355645617039244,0.510849320360386,8.2604521775857,55.90907955872707
134,-43.27126007616005,0.5082950737585841,7.962428938258778,47.835407111229316
135,-44.67265869293649,0.5057535983897912,7.9960087622915,43.62131240751062
136,-200.5133239357305,0.5032248303978422,7.331373625385518,49.132576896706404
137,-35.17343099246655,0.500708706245853,8.291685002450725,53.80179682988247
138,-49.428459356315585,0.4982051627146237,7.813094450015548,56.19605549933481
139,-36.679227446994716,0.49571413690105054,6.624579237168094,69.04783062798431
140,-134.42686960050764,0.4932355662165453,8.481542590484825,47.73562820047461
141,35.891720460626225,0.4907693883854626,10.717438982725144,-8.44253754004091
142,-49.639541880357,0.4883155414435353,11.580839926813855,59.587917533185745
143,-51.770419625712734,0.4858739637363176,11.404204883907415,52.056881334019614
144,-77.799488116346,0.483444593917636,9.022055313922465,56.54074642260093
145,59.731270763443945,0.4810273709480478,10.040397494037945,58.183703555725515
146,32.47257287591418,0.47862223409330756,10.37373856306076,3.4019670883864164
147,-38.235671645763986,0.47622912292284103,10.53817362010479,-18.318606394663455
148,-48.87915472014933,0.4738479773082268,12.062481879182002,70.1111812848079
149,-76.01322488268218,0.47147873742168567,8.758923675074723,65.36225029284304
150,-188.74135717672374,0.46912134373457726,12.350034179073749,31.87062755182828
151,96.22999070139744,0.46677573701590436,19.31861175453663,4.0529668694287535
152,-39.97143679177813,0.46444185833082485,19.875428327962982,73.77154488779193
153,144.2889849471966,0.46211964903917074,17.82884455382824,5.401806188106537
154,-33.14179691272429,0.4598090507939749,16.766806312374303,70.76005789671432
155,25.980816378008612,0.457510005540005,16.663239268064498,-8.519390125870705
156,-29.60893705255279,0.45522245551230495,17.357805473804476,50.48401108974218
157,-56.607823573106245,0.4529463432347434,14.820583674842858,69.20951806922693
158,-12.43036136168925,0.4506816115185697,16.69887526145834,69.08932449298584
159,-25.883616041462716,0.4484282034609769,14.997854919537254,68.0727965157965
160,43.33794998232019,0.446186062443672,33.354177698016166,112.83158800411225
161,-60.33456989713799,0.4439551321314536,32.558636616044126,69.59904188998675
162,-143.09013133797237,0.4417353564707963,33.86514212563634,35.0372192976065
163,-61.98424734757044,0.43952667968844233,33.39982031630931,75.4266554554977
164,3.9628256380465956,0.43732904629000013,32.13048494119438,116.31439982901374
165,89.41945094249502,0.4351424010585501,22.485577319383623,90.17974965667725
166,-22.553088266729944,0.43296668905325736,36.353942170091294,44.324206553075626
167,-100.22639107956242,0.43080185560799106,25.13367385896918,51.08604743627653
168,-35.826709050737506,0.4286478463299511,29.846294757566955,92.59419167669196
169,-46.823395043576554,0.42650460709830135,33.694856747423756,86.22528820357063
170,-101.90134104986797,0.42437208406280985,34.232989367018355,58.100655322379254
171,47.3501616891117,0.4222502236424958,23.595727491259574,67.43989370155334
172,-267.63778732242855,0.42013897252428334,27.849055799623816,112.26163088170493
173,-107.1326116638556,0.4180382776616619,29.446595576074387,34.235601897277526
174,-84.35411084650104,0.4159480862733536,45.853781226302395,104.90526212163333
175,-70.9906085754534,0.41386834584198684,36.20230865226665,117.64498987332196
176,110.59617982179859,0.4117990041127769,37.80586165201664,82.02087229633331
177,-91.01315331405588,0.40974000909221303,48.72012714970156,88.8516067701952
178,0.32108849012919904,0.40769130904675194,29.198565961509352,94.14433408572974
179,-9.826999154990332,0.40565285250151817,46.367979402127474,64.43821492272875
180,-8.436957299465089,0.4036245882390106,28.479714835524558,77.69523236954213
181,-156.12308525845498,0.4016064652978155,23.460156922265302,81.34282555167131
182,-24.460536929511093,0.3995984329713264,21.680045809486124,65.94414725988219
183,-11.708122161133632,0.3976004408064698,20.758035155296326,70.98195123612881
184,-68.65321608338566,0.39561243860243744,23.939910732998566,82.22389170258653
185,-252.7087024079795,0.3936343764094253,18.047578647516776,72.79602683799854
186,2.711606154239637,0.39166620452737816,23.747773185372353,69.5805565700531
187,-47.32612551916757,0.3897078735047413,28.68434118601232,76.8761450574289
188,17.035929038502243,0.3877593341372176,22.475555308818816,67.15561008644104
189,55.55886383610991,0.3858205374665315,21.61966766047478,59.582576457619666
190,-41.13046521602105,0.38389143477919885,20.016136277093196,63.49420509701369
191,-61.63777471510954,0.3819719776053028,21.57789449007101,56.984700866760384
192,-135.87385638310985,0.3800621177172763,19.83190198959843,35.921008601227115
193,0.43662400490835296,0.37816180712868996,20.154125599066415,51.92716638346513
194,-53.68187139624328,0.37627099809304654,23.88859275075578,54.628255010880146
195,48.70630477269757,0.3743896431025813,23.221908826828003,55.7030373840332
196,-62.188911845111136,0.37251769488706843,20.00258341507436,66.6371329647221
197,-90.27141444302544,0.3706551064126331,19.21340801349053,71.97192667080806
198,25.032925830946965,0.36880183088056995,22.374792528867722,56.118121772766116
199,-114.70275818191531,0.3669578217261671,17.736798979341984,64.35007707753942
200,-192.18548322975505,0.36512303261753626,18.28271876191743,55.32159987543789
201,5.983542346684729,0.3632974174544486,13.452472904833352,62.59257723645466
202,19.854310188406423,0.3614809303671764,21.047102009296417,60.277111305236815
203,38.897687353303326,0.3596735257153405,18.173166130542754,60.07419606399536
204,-159.3997817643868,0.3578751580867638,21.626521786053974,9.417077232039336
205,37.05220621532647,0.35608578229633,16.04583506178856,60.141781812667844
206,28.77623545780765,0.3543053533848483,16.312761876702307,61.79872512531281
207,29.528530575965643,0.35253382661792404,14.07320174741745,59.93894677734375
208,-24.155953653155052,0.3507711574848344,14.698959949205248,67.92846806615377
209,-0.8707865024731787,0.34901730169741024,13.534797698140144,60.567688263893125
210,138.9556298241694,0.3472722151889232,11.200187789559365,51.41046030521393
211,-210.65370085638318,0.3455358541129786,10.75777505143829,85.6095882903825
212,-50.76297016363765,0.3438081748424137,8.052871910373817,87.39363951093695
213,32.8476718043588,0.3420891339682016,11.19183349597454,50.21732447862625
214,78.04606223136892,0.3403786882983606,9.342753739237786,51.104132066726685
215,-3.5086405747646694,0.3386767948568688,6.91429354404581,94.43355767891325
216,113.77283729401724,0.33698341088258443,8.444146174848079,48.71040937042236
217,0.009262981256440206,0.3352984938281715,6.635941985785961,51.09320280075073
218,74.29190795172832,0.33362200135903064,6.467526814639569,49.016962966918946
219,109.79256828762506,0.33195389135223546,5.711971569001674,55.17048860931396
220,-66.62784169333102,0.3302941218954743,4.997178891352538,81.26950362838548
221,-119.16692937101632,0.32864265128599696,6.92122551612,63.820929518742346
222,-237.15562723297896,0.326999438029567,5.54087097781479,47.85672415270927
223,87.77060917920153,0.3253644408394192,7.007226882696152,44.48643353271484
224,-63.5674277437586,0.3237376186352221,5.491454898737944,83.79228992530933
225,56.03550347116776,0.322118930542046,6.1815291321277615,36.18035548591614
226,13.481431979220886,0.32050833588933575,6.71777006543201,78.0433849417645
227,-7.874609475494239,0.31890579420988907,7.194141817147329,66.79731173656847
228,109.38487222662857,0.3173112652388396,8.724036426365375,39.80058961296081
229,-38.54979861382998,0.3157247089126454,4.991386974635332,79.12038978286411
230,80.13263950459442,0.3141460853680822,6.692441869705916,39.55243758392334
231,221.84794553350108,0.3125753549412418,6.692311151493761,48.663963355157605
232,216.49873961299772,0.31101247816653554,6.622927354268767,49.14148456184425
233,-86.03426837704369,0.30945741577570285,7.724315724973604,88.89133489131927
234,82.87265127376213,0.3079101286968243,6.8889496948719025,43.4177948474884
235,7.06852900326876,0.3063705780533402,6.613414534032345,45.4152692489624
236,80.25854677006775,0.30483872516307353,6.394182243645191,40.19186188697815
237,-131.11500478393438,0.3033145315372582,4.277158095430366,68.60664377511884
238,-3.365324341544934,0.3017979588795719,6.188539703514265,66.83512561217599
239,19.094144119811254,0.30028896908517405,4.392460972487926,51.26269264221192
240,221.59634638904507,0.2987875242397482,6.194082399992191,41.95283217598563
241,90.23827415614473,0.29729358661854943,6.121635635077953,44.81239740180969
242,140.1098031039407,0.29580711868545667,5.040005003869534,49.59277065658569
243,-193.92815390238792,0.2943280830920294,4.953167816644074,65.36903308908785
