episode,reward,epsilon,loss,avg_q_value
0,-196.75951398420497,0.995,5.781391980601292,0.10531239479518774
1,-106.94981550226386,0.990025,76.94699897891597,0.07156114030237261
2,-434.9414769283513,0.985074875,96.06399290198866,-0.3767467043565019
3,-147.42796155931245,0.9801495006250001,89.6683860746297,-0.8603903488679365
4,-77.1301768751171,0.9752487531218751,126.94102292212229,-0.9424851186691768
5,-94.06279547216936,0.9703725093562657,107.39211899508601,-0.6534175180870554
6,-92.38525585618379,0.9655206468094844,101.84571925269233,-0.30199890105674665
7,-76.24260872953134,0.960693043575437,90.54332740694029,-0.14001801040055406
8,-96.71765952820721,0.9558895783575597,97.83233940784748,0.5673371240210074
9,-147.73361465364317,0.9511101304657719,101.01885688921502,1.7084528681147715
10,-106.8708087787281,0.946354579813443,95.74420961211709,1.784270758576253
11,-109.91734459036411,0.9416228069143757,112.67261282516563,0.4815861092799384
12,-91.08545136028798,0.9369146928798039,108.35831259091695,1.8030598723640046
13,-101.9478357572117,0.9322301194154049,98.84387941172953,2.757723208474979
14,-95.06927765406196,0.9275689688183278,108.64391089208198,-1.618288243189454
15,-199.5957014474224,0.9229311239742362,96.26450268831104,-1.040524010779336
16,-146.36377161511348,0.918316468354365,128.36041000154285,-3.180518534448412
17,-143.3417725269672,0.9137248860125932,103.28007063865661,3.1267984800868565
18,-165.49273339626475,0.9091562615825302,94.42529465501958,-0.24198315211317756
19,-59.67805989732817,0.9046104802746175,110.04369082188202,1.776730159960561
20,-66.2455110174245,0.9000874278732445,103.29753845493968,2.8840001963260695
21,-245.1566673980488,0.8955869907338783,88.60392500980791,3.3923987882683075
22,-136.22477101611483,0.8911090557802088,85.53148530721664,2.5332696087658406
23,-161.58139301146494,0.8866535105013078,79.38552753925323,-1.83757593549788
24,-183.25368015944184,0.8822202429488013,85.09499536045885,2.4909474928492465
25,-262.13260317285324,0.8778091417340573,108.47563223602359,-5.985542386031348
26,-195.9450887654141,0.8734200960253871,100.20374007425576,0.32288301029355726
27,-159.01729548221246,0.8690529955452602,77.11706966106023,-4.2908642342157455
28,-96.76865601928955,0.8647077305675338,76.60796078681946,3.977322248220444
29,-100.42176509724288,0.8603841919146962,89.00713552869097,3.0706388034230594
30,-370.42093446098835,0.8560822709551227,94.9390021757646,0.6595733079720627
31,-395.1778367948427,0.851801859600347,76.56735524009255,1.7127306712086963
32,-76.24817110488654,0.8475428503023453,65.80298075389862,3.1372700421214104
33,-130.31044902806084,0.8433051360508336,53.37521753140858,3.0109513362958316
34,-177.35739724772932,0.8390886103705794,77.10571844910466,2.952261621208298
35,-121.85583974947158,0.8348931673187264,56.66957260411361,3.593683921935401
36,-53.30319656552023,0.8307187014821328,55.056941396933944,1.9889277969602466
37,-73.77336650644645,0.8265651079747222,59.40446442276684,6.155369277765502
38,-50.53844923301416,0.8224322824348486,58.27332299627284,2.806557671156942
39,-168.8270300150627,0.8183201210226743,69.5521532475479,2.7444107600553767
40,-137.93745403691463,0.8142285204175609,60.12085563885538,-0.6390707090235593
41,-73.80235673305643,0.810157377815473,47.54897156238556,4.297361605763435
42,-58.840599930154376,0.8061065909263957,53.22452887419228,4.459426824456063
43,-280.2060124244173,0.8020760579717637,48.39085545430657,-1.866033433758803
44,-312.82115828268195,0.798065677681905,44.36202080226412,0.3231859391226488
45,-196.84356056934442,0.7940753492934954,45.75039898575126,2.2659634924554206
46,-180.46986101310023,0.7901049725470279,37.67591045762217,-0.12440444135951788
47,-260.7998073412825,0.7861544476842928,34.9043666152067,-7.813444539384786
48,-85.28090292612849,0.7822236754458713,40.2266918963725,5.037551489428128
49,-150.24322020054473,0.778312557068642,38.89030706882477,4.010304117222366
50,-221.01529695411443,0.7744209942832988,38.62164244293112,2.1989515160037354
51,-234.94360612065705,0.7705488893118823,31.598200030283095,-3.2072101453438813
52,-356.12753979949684,0.7666961448653229,35.046689945397915,-14.218930497611922
53,-232.05283690795864,0.7628626641409962,31.66006270219695,2.1034904112336488
54,-264.03247231626665,0.7590483508202912,27.2513987740805,-3.4991602795415147
55,-65.28819757690317,0.7552531090661897,32.733030785454645,3.6504931189395764
56,-188.70510589329044,0.7514768435208588,28.1240066094832,0.8924137632955205
57,-124.01183601654733,0.7477194593032545,27.525026848370377,4.023476282303983
58,-261.01504811177153,0.7439808620067382,26.482942516053164,0.03954735039560883
59,3.0802578122946755,0.7402609576967045,25.46463358790978,5.716721944834875
60,-75.24625225919658,0.736559652908221,24.067230846405028,4.977251717984676
61,-316.0157557323737,0.7328768546436799,26.77284194380045,-6.644442850444466
62,-260.661868540661,0.7292124703704616,28.230152807128963,-1.0147665452573504
63,-2.175884264461331,0.7255664080186093,23.191866193177564,-4.052095336734124
64,-96.40943938459617,0.7219385759785162,31.83756202718486,-0.6647658678500549
65,-104.4107569115712,0.7183288830986236,24.913005888462067,3.2930425217277124
66,-53.49728117900848,0.7147372386831305,33.08301616784854,8.180564104364468
67,-67.18994131318414,0.7111635524897149,28.32779325138439,2.243658443608067
68,-92.90608161490177,0.7076077347272662,29.819015538917398,4.672918077698856
69,-116.14228108635103,0.7040696960536299,22.963854235537507,1.0904217400449387
70,-242.65280329525336,0.7005493475733617,29.29876391376768,1.0410406065639108
71,-144.8739190715883,0.697046600835495,30.817486252447573,-0.5348761628447759
72,-167.12343150094148,0.6935613678313175,32.25498692612899,-1.2150177748579727
73,-121.15652401762779,0.6900935609921609,28.627338352528486,4.770114367319779
74,-269.48033517477006,0.6866430931872001,23.203735725991677,-0.610784071303854
75,-242.3848330743079,0.6832098777212641,22.596183729171752,-8.002717570731273
76,-401.08988532801254,0.6797938283326578,21.689703842751065,-9.435013210975137
77,-187.85366511521454,0.6763948591909945,27.52130035459995,-2.821097111251826
78,17.038594872649043,0.6730128848950395,27.0162812302811,-2.466048647960027
79,-152.0762575795961,0.6696478204705644,24.522413885984264,1.030164668794538
80,-35.4572588223366,0.6662995813682115,24.935507522458614,6.4697144244028175
81,-64.40599336265855,0.6629680834613705,26.29750153271839,4.856275637643506
82,-118.00856390259463,0.6596532430440636,30.20560309832746,-0.6608016297263517
83,-1.3068215132324354,0.6563549768288433,24.742336852330688,-3.0911885815150772
84,-66.366967595805,0.653073201944699,33.31699135972232,-7.678927143058944
85,-146.21669148508013,0.6498078359349755,22.7331611846502,-0.21590624176538908
86,-205.70888401566486,0.6465587967553006,25.44123614059304,-1.0570734908698864
87,-30.651789085156764,0.6433260027715241,26.58664720375221,2.853269028705317
88,-203.84143493287922,0.6401093727576664,25.94151184026231,-5.5499332496460445
89,-89.98540085052926,0.6369088258938781,24.81492460831519,3.199585889015467
90,-81.32133801775949,0.6337242817644086,22.681002246623006,1.0978729048657496
91,-184.98681937118394,0.6305556603555866,27.96996653547474,0.7729942211187353
92,-38.650492580113706,0.6274028820538087,24.161266863822938,2.9716915528774264
93,-150.19077828996632,0.6242658676435396,21.209049450679565,-1.7769905080048132
94,-119.8792650555072,0.6211445383053219,24.27681205868721,-1.6129404519995054
95,-69.50843033846158,0.6180388156137953,26.406255171154484,1.7610419315822197
96,-108.18901249214684,0.6149486215357263,24.000367835016533,4.368214891393586
97,22.53348327775892,0.6118738784280476,25.331075820995835,2.4941484274304644
98,-79.33235881870073,0.6088145090359074,26.23584665790681,6.394863734322209
